fecha,tipo,categoria,concepto,importe
2024-08-02,gasto,Otros,Cubata claudia cabrera,14.00
2024-08-02,gasto,Alimentación,Bocata caixa,3.00
2024-08-03,gasto,Ocio,entradas dani martin,118.00
2024-08-03,gasto,Ocio,Entrada costa,22.00
2024-08-04,gasto,Otros,Deleito costa,5.00
2024-08-07,gasto,Otros,Tabac,5.25
2024-08-07,gasto,Alimentación,Bocata caixa,3.00
2024-08-07,gasto,Otros,Saclosca,6.00
2024-08-08,gasto,Alimentación,pizza,3.48
2024-08-12,gasto,Alimentación,Bocata CaixaBank,3.00
2024-08-13,gasto,Transporte,Gasolina alex,20.00
2024-08-14,gasto,Transporte,Gasolina moto,12.00
2024-08-14,gasto,Ocio,entrada mas sorre,25.00
2024-08-16,gasto,Alimentación,bocata caixa,3.00
2024-08-16,gasto,Otros,botella camping,11.00
2024-08-16,gasto,Otros,paquet tabac,5.60
2024-08-17,gasto,Otros,camping alchol leo nil marti,17.60
2024-08-18,gasto,Transporte,gasolina francia,20.00
2024-08-18,gasto,Transporte,peaje francia,3.30
2024-08-23,gasto,Otros,deleito llafranch,20.00
2024-08-23,gasto,Transporte,gasolina cocha mama,5.00
2024-08-23,gasto,Otros,alex bizum,20.00
2024-08-25,gasto,Transporte,gasolina nil per pujar a sant pere,20.00
2024-08-26,gasto,Vivienda,casa andrea gel...,5.98
2024-08-27,gasto,Transporte,gasolina nil pujar a sat pere,10.00
2024-08-28,gasto,Alimentación,"andrea aznar, alchol comida...",8.00
2024-08-29,gasto,Otros,poker aran,3.00
2024-08-29,gasto,Otros,tabac,5.45
2024-08-31,gasto,Ocio,Entrada costa,20.00
2024-08-31,gasto,Alimentación,comida finde palamos,8.00
2024-09-01,gasto,Transporte,reparacion coche papa,80.00
2024-09-02,gasto,Alimentación,Cena pizzeria eric st pere,13.00
2024-09-04,gasto,Alimentación,Sopar nil,5.15
2024-09-06,gasto,Transporte,Gasolina sant pere,15.00
2024-09-06,gasto,Alimentación,Sopar pizzeria eric,12.90
2024-09-08,gasto,Ocio,Entrada,15.00
2024-09-08,gasto,Otros,Tabac,5.60
2024-09-08,gasto,Transporte,Gasolina moto,8.00
2024-09-11,gasto,Alimentación,Sopar champa,11.85
2024-09-12,gasto,Alimentación,Bocata uni,2.60
2024-09-12,gasto,Transporte,ITV,21.29
2024-09-14,gasto,Otros,54.0,6.00
2024-09-14,gasto,Otros,classic,12.00
2024-09-14,gasto,Otros,tabac,6.00
2024-09-14,gasto,Ocio,entrada clasic,12.00
2024-09-15,gasto,Otros,54.0,14.00
2024-09-15,gasto,Otros,tabac,2.70
2024-09-15,gasto,Ocio,entradad cocoa,15.00
2024-09-15,gasto,Otros,llavero cop america 37,24.00
2024-09-15,gasto,Ocio,polo copa america,70.00
2024-09-17,gasto,Transporte,gasolina moto,8.00
2024-09-19,gasto,Alimentación,bocata uni,2.60
2024-09-20,gasto,Ocio,entrada clasic,12.00
2024-09-22,gasto,Otros,jiconenca,2.75
2024-09-22,gasto,Ocio,barbut,3.20
2024-09-22,gasto,Alimentación,sopar angelita,7.00
2024-09-24,gasto,Alimentación,dinar uni casa ribas,14.59
2024-09-28,gasto,Otros,particular,19.50
2024-09-30,gasto,Vivienda,bbq casa ribas,4.00
2024-09-30,gasto,Ocio,birras cas clavijo,4.50
2024-10-01,gasto,Transporte,reparacion coche papa,80.00
2024-10-01,gasto,Transporte,gasolina coche mama,60.00
2024-10-01,gasto,Transporte,gasolina coche mama,10.00
2024-10-02,gasto,Otros,producto pelo,3.80
2024-10-03,gasto,Alimentación,bocata uni,2.77
2024-10-04,gasto,Transporte,gasolina moto,7.00
